riotIdGameName,riotIdTagline,region
Hide on bush,KR1,asia
Peyz,KR11,asia
Keria,4111,asia
어리고싶다,KR1,asia
오 너,111,asia
DNS Pyosik,KR2,asia
TOP UmTi,0602,asia
DK ShowMaker,KR1,asia
HLE Gumayusi,0298,asia
DK Lucid,KR1,asia
TOPKING,asd,asia
아구몬,0509,asia
TiSaD,TiSaD,sea
petrichor,0237,asia
Indexy,KR1,asia
현 진,KR0,asia
천리우스,KR1,asia
불이과,KR1,asia
月下沙利叶,b9ii,asia
W 안 찍는 가렌,GAREN,asia
Thebausffs,COOL,europe
EMPEROR AGURIN,ROYAL,europe
Aileri,KR1,asia
Mr useful,361,europe
Spear Shot,1111,europe
Desperate Nasus,EUW,europe
ProxyGinger,EUW,europe
질병게임1,KR1,asia
twtv RamyAura,21104,europe
Ty G,Teemo,americas
ChúpéGùa,204,americas
Buggy2v9,EUW,europe
star zall,twtv,europe
CruncyWM,TW TV,europe
태양물고기,6797,asia
SSO Axel,EUW,europe
Sinerias,EUW,europe
렝 화,렝 화,asia
TwTv TwelveFiora,Aimer,europe
cccc,NICE,asia
BESTSINGEDWORLD,BEST,europe
모든일은같이,KR1,asia
mashushu,KR1,asia
sad and bad,KR1,asia
qweasdqweasdqw,KR1,asia
빈 스토리,KR1,asia
나아침먹고싶어,7401,asia
허거덩,0303,asia
G2 Caps,1323,europe
JUGKlNG,kr,asia
Blue,KR33,asia
강 철,샤 넬,asia
Deft,8366,asia
suis,kr7,asia
vinaka,KR1,asia
미북이,KR1,asia
IG TheShy,KR1,asia
Drututt,MAKS,europe
PUNISHER,144,americas
LR Nemesis,LRAT,europe
G2 Jankos,unc2,europe
Rekkles,1996,europe
Tobias Fate,Fate,americas
Αrt The Clοwn,EUW,europe
kiin,KR1,asia
Doublelift,NA01,americas
G2 Hans Sama,12838,europe
G2 BrokenBlade,1918,europe
naruto,helix,asia
미소녀,mio韩服,asia
